product_id,product_title,brand_name,price,discounted_price,size,color,category,description,product_url,seller_username,listing_date
Sperry-Livingston-Mens-Sandals-687eec11006e43947efe627a,Sperry Livingston Men’s Sandals,,,$30,12,Black,Men|Shoes|Sandals & Flip-Flops,Sperry Livingston Men’s Sandals Size men’s 12 Excellent gently used condition,https://poshmark.com/listing/Sperry-Livingston-Mens-Sandals-687eec11006e43947efe627a,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eec11006e43947efe627a/s_687eec35001542c02ff6798b.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eec11006e43947efe627a/s_687eec36dc3b462c48918e17.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eec11006e43947efe627a/s_687eec375df8e70b631cf7b3.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eec11006e43947efe627a/s_687eec38149377f53c54c1d0.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eec11006e43947efe627a/s_687eec380015427d1cf6799f.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eec11006e43947efe627a/s_687eec39ed788d5383b1fa0b.jpg,peechypies,Updated a minute ago
Lululemon-winder-train-ribbed-leggings-687eea51bd4ce30d24103ddf,Lululemon winder train ribbed leggings,lululemon athletica,$118,$50,4,Black,Women|Pants & Jumpsuits|Leggings,Lululemon winder train ribbed leggings Size 4 Excellent gently used condition Black,https://poshmark.com/listing/Lululemon-winder-train-ribbed-leggings-687eea51bd4ce30d24103ddf,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eea51bd4ce30d24103ddf/s_687eea64b944910c96911daa.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eea51bd4ce30d24103ddf/s_687eea6521b801d394e9a1bd.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eea51bd4ce30d24103ddf/s_687eea6505deb3ac05422486.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eea51bd4ce30d24103ddf/s_687eea669f19e269e4267852.jpg,peechypies,Updated a minute ago
BOGS-kids-rubber-boots-687dad7821bd42f80182ef72,BOGS kids rubber boots,Bogs,$89,$48,8 (Toddler Boy),Gray|Green,Kids|Shoes|Boots,BOGS kids rubber boots Size 8 Gently used condition,https://poshmark.com/listing/BOGS-kids-rubber-boots-687dad7821bd42f80182ef72,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/20/687dad7821bd42f80182ef72/s_687dada824d2e7e36c25a520.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/20/687dad7821bd42f80182ef72/s_687dada924d2e70a9a25a534.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/20/687dad7821bd42f80182ef72/s_687dadabdbd8f0eb922f61f4.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/20/687dad7821bd42f80182ef72/s_687dadac7ac629cc00e81a1e.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/20/687dad7821bd42f80182ef72/s_687dadadbd4ce3852d288f4e.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/20/687dad7821bd42f80182ef72/s_687dadaea9a448667bb7cb59.jpg,peechypies,Updated a minute ago
Lululemon-Mens-Pacemaker-Shorts-687eeb80006e43664ffe5d58,Lululemon Men’s Pacemaker Shorts,lululemon athletica,$98,$38,L,Black|Gray,Men|Shorts|Athletic,Lululemon Men’s Pacemaker Shorts Size men’s Large Gently used condition Some fraying in crotch shown,https://poshmark.com/listing/Lululemon-Mens-Pacemaker-Shorts-687eeb80006e43664ffe5d58,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eeb80006e43664ffe5d58/s_687eeb92a0dc2b3251266953.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eeb80006e43664ffe5d58/s_687eeb939b2158781a0f117f.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eeb80006e43664ffe5d58/s_687eeb9324d2e744cfd0a1a2.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eeb80006e43664ffe5d58/s_687eeb9449e17b58b99b3a99.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eeb80006e43664ffe5d58/s_687eeb952326c8dd5bffaf86.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eeb80006e43664ffe5d58/s_687eeb96b7f0ac2e8b77c7b1.jpg,peechypies,Updated a minute ago
Carhartt-Woodside-Beanie-687eed5905deb3af86423fed,Carhartt Woodside Beanie,Carhartt,$39,$21,OS,Tan,Men|Accessories|Hats,Carhartt Woodside Beanie Gently used condition Bison colorway,https://poshmark.com/listing/Carhartt-Woodside-Beanie-687eed5905deb3af86423fed,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eed5905deb3af86423fed/s_687eed67850012540c0870a6.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eed5905deb3af86423fed/s_687eed68bd4ce31a16105a40.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eed5905deb3af86423fed/s_687eed68310f1cdd1ede6c95.jpg,peechypies,Updated a minute ago
Chaco-black-and-white-Strappy-sandal-6885b5e9243daefd118d076a,Chaco black and white Strappy sandal,Chaco,$89,$40,9,Black|White,Women|Shoes|Sandals,Chaco black and white Strappy sandal Size woman’s 9 Gently Used condition,https://poshmark.com/listing/Chaco-black-and-white-Strappy-sandal-6885b5e9243daefd118d076a,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/26/6885b5e9243daefd118d076a/s_6885b5fd49e17b14e429730b.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/26/6885b5e9243daefd118d076a/s_6885b5fe21bd42d65b21b00a.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/26/6885b5e9243daefd118d076a/s_6885b5ff5919e0a2b39d84b4.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/26/6885b5e9243daefd118d076a/s_6885b5ff9553833dc9196e9b.jpg,peechypies,Updated a minute ago
Soma-lightly-lined-perfect-coverage-bra-687eecb2ff03208219004575,Soma lightly lined perfect coverage bra,Soma,$69,$30,38H (5D),Cream,Women|Intimates & Sleepwear|Bras,Soma lightly lined perfect coverage bra Size 38H Gently used condition,https://poshmark.com/listing/Soma-lightly-lined-perfect-coverage-bra-687eecb2ff03208219004575,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eecb2ff03208219004575/s_687eecc5bdcb043925287f0b.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eecb2ff03208219004575/s_687eecc6a951054830ac4f50.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eecb2ff03208219004575/s_687eecc69b215843f60f1c8e.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eecb2ff03208219004575/s_687eecc7b09b7cd973abe736.jpg,peechypies,Updated a minute ago
Outdoor-Voices-Mens-Pants-687eedaef59cc406d0015ae8,Outdoor Voices Men’s Pants,Outdoor Voices,$128,$59,XL,Black,Men|Pants,Outdoor Voices Men’s Pants Size XL BUNGEE AT ANKLES EXCELLENT CONDITION,https://poshmark.com/listing/Outdoor-Voices-Mens-Pants-687eedaef59cc406d0015ae8,https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eedaef59cc406d0015ae8/s_687eedc5f59cc4089b015ba8.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eedaef59cc406d0015ae8/s_687eedc5d7555d16d8c85e23.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eedaef59cc406d0015ae8/s_687eedc68500126d920873f1.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eedaef59cc406d0015ae8/s_687eedc7fe4c688fe3219eca.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eedaef59cc406d0015ae8/s_687eedc7006e43a2c9fe722c.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/07/21/687eedaef59cc406d0015ae8/s_687eedc8ff0320d9ec004f2a.jpg,peechypies,Updated a minute ago
SoftSurroundingsStraight-leg-pull-on-pants-6556c52b6da06ecd4acb80d1,Soft Surroundings Straight leg pull on pants,Soft Surroundings,$79,$31,M,Blue,Women|Pants & Jumpsuits|Straight Leg,Soft Surroundings Straight leg pull on pants Size Medium 100% Lycell Large comfy elastic waistband 17” waist flat lay 29” inseam,https://poshmark.com/listing/SoftSurroundingsStraight-leg-pull-on-pants-6556c52b6da06ecd4acb80d1,https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c52e32c1dc1cc308fd34.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c52fc5df6cf117eb47d3.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c52e52eee1ee7042cf81.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c53d32c1dcdf4108fdb2.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c52e97b5d08f8fb4b59e.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c52e7dfcc20047924065.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c52e81078a994e29069f.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/16/6556c52b6da06ecd4acb80d1/s_6556c52eb635f8bb8d1e4294.jpeg,peechypies,Updated 2 mins ago
YellowBox-CheetahFur-Slippers-655c10ee842dd4f4a51a38ba,Yellow Box Cheetah Fur Slippers,,,$24,9,Brown|Black,Women|Shoes|Slippers,Yellow Box Cheetah Fur Slippers Worn inside once Excellent gently used condition Size 9,https://poshmark.com/listing/YellowBox-CheetahFur-Slippers-655c10ee842dd4f4a51a38ba,https://di2ponv0v5otw.cloudfront.net/posts/2023/11/20/655c10ee842dd4f4a51a38ba/s_655c10f2dff94d0491a9b459.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/20/655c10ee842dd4f4a51a38ba/s_655c10f281078a0b4a4b8c86.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/20/655c10ee842dd4f4a51a38ba/s_655c10f25d686b5956e2715e.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/20/655c10ee842dd4f4a51a38ba/s_655c10f1308f076f7ba7e4a0.jpeg|https://di2ponv0v5otw.cloudfront.net/posts/2023/11/20/655c10ee842dd4f4a51a38ba/s_655c10f18d7a3c31d7dd501d.jpeg,peechypies,Updated 2 mins ago
